,Film,Year_Num,Category,NO,YES,Nominee
0,Biutiful,2010,Actor -- Leading Role,1.0,0.0,Javier Bardem
1,True Grit,2010,Actor -- Leading Role,1.0,0.0,Jeff Bridges
2,The Social Network,2010,Actor -- Leading Role,1.0,0.0,Jesse Eisenberg
3,The King's Speech,2010,Actor -- Leading Role,0.0,1.0,Colin Firth
4,127 Hours,2010,Actor -- Leading Role,1.0,0.0,James Franco
5,The Kids Are All Right,2010,Actress -- Leading Role,1.0,0.0,Annette Bening
6,Rabbit Hole,2010,Actress -- Leading Role,1.0,0.0,Nicole Kidman
7,Winter's Bone,2010,Actress -- Leading Role,1.0,0.0,Jennifer Lawrence
8,Black Swan,2010,Actress -- Leading Role,0.0,1.0,Natalie Portman
9,Blue Valentine,2010,Actress -- Leading Role,1.0,0.0,Michelle Williams
10,Black Swan,2010,Cinematography,1.0,0.0,Black Swan
11,Inception,2010,Cinematography,0.0,1.0,Inception
12,The King's Speech,2010,Cinematography,1.0,0.0,The King's Speech
13,The Social Network,2010,Cinematography,1.0,0.0,The Social Network
14,True Grit,2010,Cinematography,1.0,0.0,True Grit
15,Black Swan,2010,Directing,1.0,0.0,Black Swan
16,The Fighter,2010,Directing,1.0,0.0,The Fighter
17,The King's Speech,2010,Directing,0.0,1.0,The King's Speech
18,The Social Network,2010,Directing,1.0,0.0,The Social Network
19,True Grit,2010,Directing,1.0,0.0,True Grit
20,Black Swan,2010,Best Picture,1.0,0.0,Black Swan
21,The Fighter,2010,Best Picture,1.0,0.0,The Fighter
22,Inception,2010,Best Picture,1.0,0.0,Inception
23,The Kids Are All Right,2010,Best Picture,1.0,0.0,The Kids Are All Right
24,The King's Speech,2010,Best Picture,0.0,1.0,The King's Speech
25,127 Hours,2010,Best Picture,1.0,0.0,127 Hours
26,The Social Network,2010,Best Picture,1.0,0.0,The Social Network
27,Toy Story 3,2010,Best Picture,1.0,0.0,Toy Story 3
28,True Grit,2010,Best Picture,1.0,0.0,True Grit
29,Winter's Bone,2010,Best Picture,1.0,0.0,Winter's Bone
30,Crazy Heart,2009,Actor -- Leading Role,0.0,1.0,Jeff Bridges
31,Up in the Air,2009,Actor -- Leading Role,1.0,0.0,George Clooney
32,A Single Man,2009,Actor -- Leading Role,1.0,0.0,Colin Firth
33,Invictus,2009,Actor -- Leading Role,1.0,0.0,Morgan Freeman
34,The Hurt Locker,2009,Actor -- Leading Role,1.0,0.0,Jeremy Renner
35,The Blind Side,2009,Actress -- Leading Role,0.0,1.0,Sandra Bullock
36,The Last Station,2009,Actress -- Leading Role,1.0,0.0,Helen Mirren
37,An Education,2009,Actress -- Leading Role,1.0,0.0,Carey Mulligan
38,Precious: Based on the Novel 'Push' by Sapphire,2009,Actress -- Leading Role,1.0,0.0,Gabourey Sidibe
39,Julie & Julia,2009,Actress -- Leading Role,1.0,0.0,Meryl Streep
40,Avatar,2009,Cinematography,0.0,1.0,Avatar
41,Harry Potter and the Half-Blood Prince,2009,Cinematography,1.0,0.0,Harry Potter and the Half-Blood Prince
42,The Hurt Locker,2009,Cinematography,1.0,0.0,The Hurt Locker
43,Inglourious Basterds,2009,Cinematography,1.0,0.0,Inglourious Basterds
44,The White Ribbon,2009,Cinematography,1.0,0.0,The White Ribbon
45,Avatar,2009,Directing,1.0,0.0,Avatar
46,The Hurt Locker,2009,Directing,0.0,1.0,The Hurt Locker
47,Inglourious Basterds,2009,Directing,1.0,0.0,Inglourious Basterds
48,Precious: Based on the Novel 'Push' by Sapphire,2009,Directing,1.0,0.0,Precious: Based on the Novel 'Push' by Sapphire
49,Up in the Air,2009,Directing,1.0,0.0,Up in the Air
50,Avatar,2009,Best Picture,1.0,0.0,Avatar
51,The Blind Side,2009,Best Picture,1.0,0.0,The Blind Side
52,District 9,2009,Best Picture,1.0,0.0,District 9
53,An Education,2009,Best Picture,1.0,0.0,An Education
54,The Hurt Locker,2009,Best Picture,0.0,1.0,The Hurt Locker
55,Inglourious Basterds,2009,Best Picture,1.0,0.0,Inglourious Basterds
56,Precious: Based on the Novel 'Push' by Sapphire,2009,Best Picture,1.0,0.0,Precious: Based on the Novel 'Push' by Sapphire
57,A Serious Man,2009,Best Picture,1.0,0.0,A Serious Man
58,Up,2009,Best Picture,1.0,0.0,Up
59,Up in the Air,2009,Best Picture,1.0,0.0,Up in the Air
60,The Visitor,2008,Actor -- Leading Role,1.0,0.0,Richard Jenkins
61,Frost/Nixon,2008,Actor -- Leading Role,1.0,0.0,Frank Langella
62,Milk,2008,Actor -- Leading Role,0.0,1.0,Sean Penn
63,The Curious Case of Benjamin Button,2008,Actor -- Leading Role,1.0,0.0,Brad Pitt
64,The Wrestler,2008,Actor -- Leading Role,1.0,0.0,Mickey Rourke
65,Rachel Getting Married,2008,Actress -- Leading Role,1.0,0.0,Anne Hathaway
66,Changeling,2008,Actress -- Leading Role,1.0,0.0,Angelina Jolie
67,Frozen River,2008,Actress -- Leading Role,1.0,0.0,Melissa Leo
68,Doubt,2008,Actress -- Leading Role,1.0,0.0,Meryl Streep
69,The Reader,2008,Actress -- Leading Role,0.0,1.0,Kate Winslet
70,Changeling,2008,Cinematography,1.0,0.0,Changeling
71,The Curious Case of Benjamin Button,2008,Cinematography,1.0,0.0,The Curious Case of Benjamin Button
72,The Dark Knight,2008,Cinematography,1.0,0.0,The Dark Knight
73,The Reader,2008,Cinematography,1.0,0.0,The Reader
74,Slumdog Millionaire,2008,Cinematography,0.0,1.0,Slumdog Millionaire
75,The Curious Case of Benjamin Button,2008,Directing,1.0,0.0,The Curious Case of Benjamin Button
76,Frost/Nixon,2008,Directing,1.0,0.0,Frost/Nixon
77,Milk,2008,Directing,1.0,0.0,Milk
78,The Reader,2008,Directing,1.0,0.0,The Reader
79,Slumdog Millionaire,2008,Directing,0.0,1.0,Slumdog Millionaire
80,The Curious Case of Benjamin Button,2008,Best Picture,1.0,0.0,The Curious Case of Benjamin Button
81,Frost/Nixon,2008,Best Picture,1.0,0.0,Frost/Nixon
82,Milk,2008,Best Picture,1.0,0.0,Milk
83,The Reader,2008,Best Picture,1.0,0.0,The Reader
84,Slumdog Millionaire,2008,Best Picture,0.0,1.0,Slumdog Millionaire
85,Michael Clayton,2007,Actor -- Leading Role,1.0,0.0,George Clooney
86,There Will Be Blood,2007,Actor -- Leading Role,0.0,1.0,Daniel Day-Lewis
87,Sweeney Todd The Demon Barber of Fleet Street,2007,Actor -- Leading Role,1.0,0.0,Johnny Depp
88,In the Valley of Elah,2007,Actor -- Leading Role,1.0,0.0,Tommy Lee Jones
89,Eastern Promises,2007,Actor -- Leading Role,1.0,0.0,Viggo Mortensen
90,Elizabeth: The Golden Age,2007,Actress -- Leading Role,1.0,0.0,Cate Blanchett
91,Away from Her,2007,Actress -- Leading Role,1.0,0.0,Julie Christie
92,La Vie en Rose,2007,Actress -- Leading Role,0.0,1.0,Marion Cotillard
93,The Savages,2007,Actress -- Leading Role,1.0,0.0,Laura Linney
94,Juno,2007,Actress -- Leading Role,1.0,0.0,Ellen Page
95,The Assassination of Jesse James by the Coward Robert Ford,2007,Cinematography,1.0,0.0,The Assassination of Jesse James by the Coward Robert Ford
96,Atonement,2007,Cinematography,1.0,0.0,Atonement
97,The Diving Bell and the Butterfly,2007,Cinematography,1.0,0.0,The Diving Bell and the Butterfly
98,No Country for Old Men,2007,Cinematography,1.0,0.0,No Country for Old Men
99,There Will Be Blood,2007,Cinematography,0.0,1.0,There Will Be Blood
100,The Diving Bell and the Butterfly,2007,Directing,1.0,0.0,The Diving Bell and the Butterfly
101,Juno,2007,Directing,1.0,0.0,Juno
102,Michael Clayton,2007,Directing,1.0,0.0,Michael Clayton
103,No Country for Old Men,2007,Directing,0.0,1.0,No Country for Old Men
104,There Will Be Blood,2007,Directing,1.0,0.0,There Will Be Blood
105,Atonement,2007,Best Picture,1.0,0.0,Atonement
106,Juno,2007,Best Picture,1.0,0.0,Juno
107,Michael Clayton,2007,Best Picture,1.0,0.0,Michael Clayton
108,No Country for Old Men,2007,Best Picture,0.0,1.0,No Country for Old Men
109,There Will Be Blood,2007,Best Picture,1.0,0.0,There Will Be Blood
110,Blood Diamond,2006,Actor -- Leading Role,1.0,0.0,Leonardo DiCaprio
111,Half Nelson,2006,Actor -- Leading Role,1.0,0.0,Ryan Gosling
112,Venus,2006,Actor -- Leading Role,1.0,0.0,Peter O'Toole
113,The Pursuit of Happyness,2006,Actor -- Leading Role,1.0,0.0,Will Smith
114,The Last King of Scotland,2006,Actor -- Leading Role,0.0,1.0,Forest Whitaker
115,Volver,2006,Actress -- Leading Role,1.0,0.0,Penélope Cruz
116,Notes on a Scandal,2006,Actress -- Leading Role,1.0,0.0,Judi Dench
117,The Queen,2006,Actress -- Leading Role,0.0,1.0,Helen Mirren
118,The Devil Wears Prada,2006,Actress -- Leading Role,1.0,0.0,Meryl Streep
119,Little Children,2006,Actress -- Leading Role,1.0,0.0,Kate Winslet
120,The Black Dahlia,2006,Cinematography,1.0,0.0,The Black Dahlia
121,Children of Men,2006,Cinematography,1.0,0.0,Children of Men
122,The Illusionist,2006,Cinematography,1.0,0.0,The Illusionist
123,Pan's Labyrinth,2006,Cinematography,0.0,1.0,Pan's Labyrinth
124,The Prestige,2006,Cinematography,1.0,0.0,The Prestige
125,Babel,2006,Directing,1.0,0.0,Babel
126,The Departed,2006,Directing,0.0,1.0,The Departed
127,Letters from Iwo Jima,2006,Directing,1.0,0.0,Letters from Iwo Jima
128,The Queen,2006,Directing,1.0,0.0,The Queen
129,United 93,2006,Directing,1.0,0.0,United 93
130,Babel,2006,Best Picture,1.0,0.0,Babel
131,The Departed,2006,Best Picture,0.0,1.0,The Departed
132,Letters from Iwo Jima,2006,Best Picture,1.0,0.0,Letters from Iwo Jima
133,Little Miss Sunshine,2006,Best Picture,1.0,0.0,Little Miss Sunshine
134,The Queen,2006,Best Picture,1.0,0.0,The Queen
