	alt_title	director_x	domestic_gross	mojo_slug_x	opening_per_theater	opening_weekend_take	production_budget	release_date_limited	release_date_wide	title_x	widest_release	worldwide_gross	year_x	box_flag	key	complete	director_y	genre	metacritic_page	metascore	num_critic_reviews	num_user_ratings	num_user_reviews	rating	release_date	runtime_minutes	studio	title_y	unable to retrieve	user_score	year_y	mojo_slug_y
0	10,000 B.C. (2008)	Roland Emmerich	94784201.0	10000bc	10518.0	35867488.0	105000000.0		2008-03-07	10,000 B.C.	3454.0	269784201.0	2008.0	1.0	10000bc2008	True	Roland Emmerich	[Adventure, Drama, Fantasy]	/movie/10000-bc	34.0	[4, 8, 17, 29]	273.0	[50, 18, 60, 128]	PG-13	2008-03-07	109.0	Warner Bros. Pictures	10,000 BC		4.6	2008	10000bc
1	102 Dalmatians (2000)		66957026.0	102dalmatians	7353.0	19883351.0	85000000.0		2000-11-22	102 Dalmatians 	2704.0	183611771.0	2000.0	1.0	102dalmatians2000	True	Kevin Lima	[Comedy, Family]	/movie/102-dalmatians	35.0	[7, 5, 12, 24]	47.0	[7, 3, 3, 13]	G	2000-11-22	100.0	Buena Vista Pictures	102 Dalmatians		5.3	2000	102dalmatians
2	10 Things I Hate About You (1999)		38178166.0	10thingsihateaboutyou	3668.0	8330681.0	30000000.0		1999-03-31	10 Things I Hate About You	2311.0	53478166.0	1999.0	1.0	10thingsihateaboutyou1999	True	Gil Junger	[Comedy, Romance]	/movie/10-things-i-hate-about-you	70.0	[18, 7, 1, 26]	175.0	[27, 1, 1, 29]	PG-13	1999-03-31	97.0	Buena Vista Pictures	10 Things I Hate About You		7.0	1999	10thingsihateaboutyou
3	10 Years (2012)	Jamie Linden	203373.0	10years	7569.0	22707.0			2012-09-14	10 Years	63.0	203373.0	2012.0	1.0	10years2012	True	Jamie Linden	[Drama, Comedy, Romance]	/movie/10-years	61.0	[7, 11, 0, 18]	12.0	[3, 2, 1, 6]	R	2012-09-14	100.0	Anchor Bay Entertainment	10 Years		6.6	2012	10years
4	11 Flowers (2013)		9213.0	11flowers	1758.0	3516.0			2013-02-22	11 Flowers 	2.0		2013.0	1.0	11flowers2013	False	Xiaoshuai Wang	[Drama]	/movie/11-flowers	71.0	[4, 3, 0, 7]		[1, 0, 0, 1]	Not Rated	2013-02-22	110.0	First Run Features	11 Flowers		tbd	2013	11flowers
5	The 11th Hour (2007)		707343.0	11thhour	15213.0	60853.0			2007-08-17	The 11th Hour	111.0	985207.0	2007.0	1.0	11thhour2007																	
6	127 Hours (2010)	Danny Boyle	18335230.0	127hours	2333.0	2136801.0	18000000.0	2010-11-05	2011-01-28	127 Hours	916.0	60738797.0	2010.0	1.0	127hours2010	True	Danny Boyle	[Adventure, Biography, Drama, Thriller]	/movie/127-hours	82.0	[37, 1, 0, 38]	518.0	[100, 2, 16, 118]	R	2010-11-05	94.0	Fox Searchlight Pictures	127 Hours		8.0	2010	127hours
7	12 Rounds (2009)	Renny Harlin	12234694.0	12rounds	2286.0	5329240.0			2009-03-27	12 Rounds	2331.0	17280326.0	2009.0	1.0	12rounds2009	True	Renny Harlin	[Action, Thriller, Crime]	/movie/12-rounds	38.0	[1, 5, 7, 13]	66.0	[3, 5, 12, 20]	PG-13	2009-03-27	108.0	Fox Atomic	12 Rounds		5.0	2009	12rounds
8	13 Assassins (2011)		802778.0	13assassins	11464.0	45854.0			2011-04-29	13 Assassins 	31.0	17555141.0	2011.0	1.0	13assassins2011	True	Takashi  Miike	[Action]	/movie/13-assassins	87.0	[22, 1, 0, 23]	142.0	[32, 2, 2, 36]	R	2011-04-29	141.0	Magnet Releasing	13 Assassins		7.9	2011	13assassins
9	13 Going on 30 (2004)	Gary Winick	57231747.0	13goingon30	6123.0	21054283.0	37000000.0		2004-04-23	13 Going on 30	3453.0	96455697.0	2004.0	1.0	13goingon302004	True	Gary Winick	[Fantasy, Comedy, Romance]	/movie/13-going-on-30	57.0	[20, 15, 0, 35]	120.0	[26, 3, 4, 33]	PG-13	2004-04-23	98.0	Columbia Pictures	13 Going on 30		6.9	2004	13goingon30
