,Film,Year,Num_Wins,Num_Nominations,clean_film_name,key
0,'Round Midnight,1986,0.0,1,roundmidnight,roundmidnight1986
1,...And Justice for All,1979,0.0,1,andjusticeforall,andjusticeforall1979
2,12 Angry Men,1957,0.0,2,12angrymen,12angrymen1957
3,127 Hours,2010,0.0,2,127hours,127hours2010
4,1776,1972,0.0,1,1776,17761972
5,1941,1979,0.0,1,1941,19411979
6,2001: A Space Odyssey,1968,0.0,1,2001:aspaceodyssey,2001:aspaceodyssey1968
7,21 Grams,2003,0.0,1,21grams,21grams2003
8,42nd Street,193233,0.0,1,42ndstreet,42ndstreet193233
9,7th Heaven,192728,1.0,1,7thheaven,7thheaven192728
10,A Beautiful Mind,2001,2.0,3,abeautifulmind,abeautifulmind2001
11,A Civil Action,1998,0.0,1,acivilaction,acivilaction1998
12,A Clockwork Orange,1971,0.0,2,aclockworkorange,aclockworkorange1971
13,A Cry in the Dark,1988,0.0,1,acryinthedark,acryinthedark1988
14,A Double Life,1947,1.0,2,adoublelife,adoublelife1947
15,A Farewell to Arms,193233,1.0,2,afarewelltoarms,afarewelltoarms193233
16,A Few Good Men,1992,0.0,1,afewgoodmen,afewgoodmen1992
17,A Fish Called Wanda,1988,0.0,1,afishcalledwanda,afishcalledwanda1988
18,A Foreign Affair,1948,0.0,1,aforeignaffair,aforeignaffair1948
19,A Free Soul,193031,1.0,3,afreesoul,afreesoul193031
20,A Hatful of Rain,1957,0.0,1,ahatfulofrain,ahatfulofrain1957
21,A Letter to Three Wives,1949,1.0,2,alettertothreewives,alettertothreewives1949
22,A Little Princess,1995,0.0,1,alittleprincess,alittleprincess1995
23,A Majority of One,1961,0.0,1,amajorityofone,amajorityofone1961
24,A Man Called Peter,1955,0.0,1,amancalledpeter,amancalledpeter1955
25,A Man and a Woman,1966,0.0,2,amanandawoman,amanandawoman1966
26,A Man for All Seasons,1966,4.0,4,amanforallseasons,amanforallseasons1966
27,A Midsummer Night's Dream,1935,1.0,2,amidsummernightsdream,amidsummernightsdream1935
28,A Passage to India,1984,0.0,4,apassagetoindia,apassagetoindia1984
29,A Patch of Blue,1965,0.0,2,apatchofblue,apatchofblue1965
30,A Place in the Sun,1951,2.0,5,aplaceinthesun,aplaceinthesun1951
31,A River Runs through It,1992,1.0,1,ariverrunsthroughit,ariverrunsthroughit1992
32,A Room with a View,1986,0.0,3,aroomwithaview,aroomwithaview1986
33,A Serious Man,2009,0.0,1,aseriousman,aseriousman2009
34,A Ship Comes In,192728,0.0,1,ashipcomesin,ashipcomesin192728
35,A Single Man,2009,0.0,1,asingleman,asingleman2009
36,A Soldier's Story,1984,0.0,1,asoldiersstory,asoldiersstory1984
37,A Song to Remember,1945,0.0,2,asongtoremember,asongtoremember1945
38,A Special Day,1977,0.0,1,aspecialday,aspecialday1977
39,A Star Is Born,1937,0.0,4,astarisborn,astarisborn1937
40,A Star Is Born,1954,0.0,2,astarisborn,astarisborn1954
41,A Star Is Born,1976,0.0,1,astarisborn,astarisborn1976
42,A Streetcar Named Desire,1951,1.0,5,astreetcarnameddesire,astreetcarnameddesire1951
43,A Tale of Two Cities,1936,0.0,1,ataleoftwocities,ataleoftwocities1936
44,A Thousand Clowns,1965,0.0,1,athousandclowns,athousandclowns1965
45,A Touch of Class,1973,1.0,2,atouchofclass,atouchofclass1973
46,A Very Long Engagement,2004,0.0,1,averylongengagement,averylongengagement2004
47,A Woman under the Influence,1974,0.0,2,awomanundertheinfluence,awomanundertheinfluence1974
48,Abe Lincoln in Illinois,1940,0.0,2,abelincolninillinois,abelincolninillinois1940
49,About Schmidt,2002,0.0,1,aboutschmidt,aboutschmidt2002
50,Absence of Malice,1981,0.0,1,absenceofmalice,absenceofmalice1981
51,Adaptation,2002,0.0,1,adaptation,adaptation2002
52,Adventures of Robinson Crusoe,1954,0.0,1,adventuresofrobinsoncrusoe,adventuresofrobinsoncrusoe1954
53,Affliction,1998,0.0,1,affliction,affliction1998
54,Afterglow,1997,0.0,1,afterglow,afterglow1997
55,Agnes of God,1985,0.0,1,agnesofgod,agnesofgod1985
56,Air Force,1943,0.0,1,airforce,airforce1943
57,Airport,1970,0.0,2,airport,airport1970
58,Alexander's Ragtime Band,1938,0.0,1,alexandersragtimeband,alexandersragtimeband1938
59,Alfie,1966,0.0,2,alfie,alfie1966
60,Algiers,1938,0.0,2,algiers,algiers1938
61,Ali,2001,0.0,1,ali,ali2001
62,Alibi,192829,0.0,1,alibi,alibi192829
63,Alice Adams,1935,0.0,2,aliceadams,aliceadams1935
