alt_title,director_x,domestic_gross,mojo_slug_x,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title_x,widest_release,worldwide_gross,year_x,box_flag,key,complete,director_y,genre,metacritic_page,metascore,num_critic_reviews,num_user_ratings,num_user_reviews,rating,release_date,runtime_minutes,studio,title_y,unable to retrieve,user_score,year_y,genre_first,mojo_slug_y,pos_critic_reviews,neu_critic_reviews,neg_critic_reviews,tot_critic_reviews,pos_user_reviews,neu_user_reviews,neg_user_reviews,tot_user_reviews,f_pos_critic_percent,f_neg_critic_percent,f_pos_user_percent,f_neg_user_percent,f_action,f_recency,f_log_open_theater,f_title_length,f_log_domestic,f_log_open_wkend,f_square_log_wkend,movie_num,f_more_movie_directed,f_per_theater_take,f_R_rated,f_PG13_rated,f_PG_rated,f_not_rated,box_score,box_rank,Unnamed: 0,Film,Year,Num_Wins,Num_Nominations,clean_film_name,win
"10,000 B.C. (2008)",Roland Emmerich,94784201.0,10000bc,10518.0,35867488.0,105000000.0,,2008-03-07,"10,000 B.C.",3454.0,269784201.0,2008.0,1.0,10000bc2008,True,Roland Emmerich,"[Adventure, Drama, Fantasy]",/movie/10000-bc,34.0,"[4, 8, 17, 29]",273.0,"[50, 18, 60, 128]",PG-13,2008-03-07,109.0,Warner Bros. Pictures,"10,000 BC",,4.6,2008,Adventure,10000bc,4.0,8.0,17.0,29.0,50.0,18.0,60.0,128.0,0.137926278404,0.586186683218,0.390621948266,0.468746337919,0,1,9.26084335415,7,18.3671132972,17.3953418164,302.597916909,7,1,3410.10534322,0,1,0,0,18.4908838517,1,,,,,,,0
2012 (2009),Roland Emmerich,166112167.0,2012,19165.0,65237614.0,200000000.0,,2009-11-13,2012,3444.0,769679473.0,2009.0,1.0,20122009,True,Roland Emmerich,"[Action, Adventure, Sci-Fi, Drama, Thriller]",/movie/2012,49.0,"[14, 14, 6, 34]",571.0,"[110, 41, 82, 233]",PG-13,2009-11-13,158.0,Columbia Pictures,2012,,5.5,2009,Action,2012,14.0,14.0,6.0,34.0,110.0,41.0,82.0,233.0,0.411752595512,0.176465398077,0.472100978107,0.351929820044,1,1,9.86084097781,4,18.928173823,17.9935467624,323.76772509,7,1,3403.99759979,0,1,0,0,19.2171741499,1,,,,,,,0
Anonymous (2011),Roland Emmerich,4463292.0,anonymous,3856.0,1021768.0,30000000.0,,2011-10-28,Anonymous,513.0,15395087.0,2011.0,1.0,anonymous2011,True,Roland Emmerich,[Drama],/movie/anonymous-2011,50.0,"[17, 19, 7, 43]",58.0,"[9, 2, 5, 16]",PG-13,2011-10-28,130.0,Columbia Pictures,Anonymous,,6.2,2011,Drama,anonymous,17.0,19.0,7.0,43.0,9.0,2.0,5.0,16.0,0.395339643264,0.162786911932,0.562464845947,0.312480469971,0,1,8.25738565573,9,15.3113971683,13.8370450181,191.463814833,7,1,264.981327801,0,1,0,0,15.4858362946,0,,,,,,,0
Godzilla (1998),Roland Emmerich,136314294.0,godzilla,13307.0,44047541.0,130000000.0,,1998-05-20,Godzilla,3310.0,379014294.0,1998.0,1.0,godzilla1998,True,Roland Emmerich,"[Action, Sci-Fi, Thriller, Horror]",/movie/godzilla-1998,32.0,"[2, 9, 12, 23]",140.0,"[19, 6, 22, 47]",PG-13,1998-05-19,139.0,TriStar Pictures,Godzilla,,4.9,1998,Action,godzilla,2.0,9.0,12.0,23.0,19.0,6.0,22.0,47.0,0.0869527411852,0.521716447111,0.404246718155,0.468075147337,1,0,9.49604549154,8,18.7304737628,17.6007800859,309.787459631,7,1,3310.10302848,0,1,0,0,18.953718405,1,,,,,,,0
Independence Day (1996),Roland Emmerich,306169268.0,independenceday,17428.0,50228264.0,75000000.0,,1996-07-03,Independence Day,2977.0,817400891.0,1996.0,1.0,independenceday1996,True,Roland Emmerich,"[Action, Adventure, Sci-Fi, Thriller]",/movie/independence-day,59.0,"[9, 8, 2, 19]",146.0,"[29, 5, 6, 40]",PG-13,1996-07-03,145.0,Twentieth Century Fox Film Corporation,Independence Day,,7.0,1996,Action,independenceday,9.0,8.0,2.0,19.0,29.0,5.0,6.0,40.0,0.47365928109,0.10525761802,0.724981875453,0.149996250094,1,0,9.76583338724,15,19.5396486704,17.7320884541,314.426960944,7,1,2882.04406702,0,1,0,0,19.5513040386,1,,,,,,,0
Stargate (1994),Roland Emmerich,71567262.0,stargate,8190.0,16651018.0,,,1994-10-28,Stargate ,2033.0,196567262.0,1994.0,1.0,stargate1994,True,Roland Emmerich,"[Action, Adventure, Sci-Fi]",/movie/stargate,42.0,"[4, 9, 4, 17]",26.0,"[4, 0, 0, 4]",PG-13,1994-10-28,121.0,Metro-Goldwyn-Mayer (MGM),Stargate,,7.8,1994,Action,stargate,4.0,9.0,4.0,17.0,4.0,0.0,0.0,4.0,0.235280277631,0.235280277631,0.999750062484,0.0,1,0,9.01066917685,8,18.0861482927,16.6279819137,276.489782521,7,1,2033.09133089,0,1,0,0,18.1447989599,1,,,,,,,0
White House Down (2013),Roland Emmerich,73103784.0,whitehousedown,7713.0,24852258.0,150000000.0,,2013-06-28,White House Down,3222.0,205366737.0,2013.0,1.0,whitehousedown2013,True,Roland Emmerich,"[Action, Drama, Thriller]",/movie/white-house-down,52.0,"[17, 19, 7, 43]",241.0,"[42, 14, 19, 75]",PG-13,2013-06-28,131.0,Columbia Pictures,White House Down,,5.9,2013,Action,whitehousedown,17.0,19.0,7.0,43.0,42.0,14.0,19.0,75.0,0.395339643264,0.162786911932,0.559992533433,0.253329955601,1,1,8.95066249593,14,18.1073906881,17.0284591716,289.968421758,7,1,3222.126021,0,1,0,0,18.2058289666,1,,,,,,,0
102 Dalmatians (2000),,66957026.0,102dalmatians,7353.0,19883351.0,85000000.0,,2000-11-22,102 Dalmatians ,2704.0,183611771.0,2000.0,1.0,102dalmatians2000,True,Kevin Lima,"[Comedy, Family]",/movie/102-dalmatians,35.0,"[7, 5, 12, 24]",47.0,"[7, 3, 3, 13]",G,2000-11-22,100.0,Buena Vista Pictures,102 Dalmatians,,5.3,2000,Comedy,102dalmatians,7.0,5.0,12.0,24.0,7.0,3.0,3.0,13.0,0.291654514395,0.499979167535,0.538420121529,0.230751480655,0,1,8.9028636722,13,18.0195615686,16.8053933064,282.421244181,2,0,2704.11410309,0,0,0,0,17.8950254956,1,,,,,,,0
Enchanted (2007),,127807262.0,enchanted,9233.0,34440317.0,85000000.0,,2007-11-21,Enchanted,3730.0,340487652.0,2007.0,1.0,enchanted2007,True,Kevin Lima,"[Fantasy, Comedy, Romance, Family, Musical]",/movie/enchanted,75.0,"[28, 4, 0, 32]",191.0,"[62, 4, 7, 73]",PG,2007-11-21,107.0,Walt Disney Studios Motion Pictures,Enchanted,,7.9,2007,Fantasy,enchanted,28.0,4.0,0.0,32.0,62.0,4.0,7.0,73.0,0.874972657104,0.0,0.8493034342,0.0958890974096,0,1,9.13053930177,9,18.6660339215,17.3547384419,301.186946387,2,0,3730.13289288,0,0,1,0,19.1649177674,1,,,,,,,0
10 Things I Hate About You (1999),,38178166.0,10thingsihateaboutyou,3668.0,8330681.0,30000000.0,,1999-03-31,10 Things I Hate About You,2311.0,53478166.0,1999.0,1.0,10thingsihateaboutyou1999,True,Gil Junger,"[Comedy, Romance]",/movie/10-things-i-hate-about-you,70.0,"[18, 7, 1, 26]",175.0,"[27, 1, 1, 29]",PG-13,1999-03-31,97.0,Buena Vista Pictures,10 Things I Hate About You,,7.0,1999,Comedy,10thingsihateaboutyou,18.0,7.0,1.0,26.0,27.0,1.0,1.0,29.0,0.692281066113,0.0384600592285,0.931002379228,0.034481569601,0,0,8.20740183338,21,17.4577743395,15.9354557635,253.938750391,1,0,2271.17802617,0,1,0,0,17.8176898414,1,,,,,,,0
10 Years (2012),Jamie Linden,203373.0,10years,7569.0,22707.0,,,2012-09-14,10 Years,63.0,203373.0,2012.0,1.0,10years2012,True,Jamie Linden,"[Drama, Comedy, Romance]",/movie/10-years,61.0,"[7, 11, 0, 18]",12.0,"[3, 2, 1, 6]",R,2012-09-14,100.0,Anchor Bay Entertainment,10 Years,,6.6,2012,Drama,10years,7.0,11.0,0.0,18.0,3.0,2.0,1.0,6.0,0.388867285151,0.0,0.499916680553,0.166638893518,0,1,8.93181623731,7,12.2227970104,10.030428526,100.609496415,1,0,3.0,1,0,0,0,12.340949818,0,,,,,,,0
11 Flowers (2013),,9213.0,11flowers,1758.0,3516.0,,,2013-02-22,11 Flowers ,2.0,,2013.0,1.0,11flowers2013,False,Xiaoshuai Wang,[Drama],/movie/11-flowers,71.0,"[4, 3, 0, 7]",,"[1, 0, 0, 1]",Not Rated,2013-02-22,110.0,First Run Features,11 Flowers,,tbd,2013,Drama,11flowers,4.0,3.0,0.0,7.0,1.0,0.0,0.0,1.0,0.571346950436,0.0,0.999000999001,0.0,0,1,7.47193207825,9,9.12837080911,8.16507925881,66.6685193026,1,0,2.0,0,0,0,1,9.47532952844,0,,,,,,,0
